rank,iso3,country_name,income_group,peer_group,ppp_data_available,gdp_usd,gdp_ppp,actual_contribution_usd,adjusted_target_usd,gap_usd_signed,gap_pct_ppp_gdp,gap_usd_lower,gap_usd_upper,giving_rate_raw,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr
76,AGO,Angola,LMC,Lower-Middle Income,True,100998916781.079,337255560567.664,0.0,272042.9951586085,272042.9951586085,8.066375383128136e-05,-122082781524.0825,122083325610.07283,0.0,0.0,0.030421016201108767,20767960.829113416,272042.9951586085,Low Probability,2.2626626941559698
77,PNG,Papua New Guinea,LMC,Lower-Middle Income,True,31800428265.5246,45357628034.991,0.0,269179.14700122597,269179.14700122597,0.0005934594877703229,-38438691466.45226,38439229824.74627,0.0,0.0,0.09560075660693873,7750105.589195389,269179.14700122597,Low Probability,1.7761860817938513
78,BLR,Belarus,UMC,Upper-Middle Income,True,75961865471.9129,265220428363.568,0.0,263001.2715847913,263001.2715847913,9.91632783370161e-05,-91819102859.49182,91819628862.035,0.0,0.0,0.03910345328518394,14698096.002588106,263001.2715847913,Low Probability,2.1634792491307286
79,VIR,Virgin Islands (U.S.),HIC,High Income,True,4672000000.0,4899522415.95903,0.0,261018.248353273,261018.248353273,0.005327422270853748,-5647047333.59963,5647569370.096336,0.0,0.0,0.22224892574862853,2777935.5048646485,261018.248353273,Emerging Prospect,1.3400364655334376
80,LBY,Libya,UMC,Upper-Middle Income,True,48487151215.345,92881567242.442,0.0,255487.9505265084,255487.9505265084,0.0002750685180188947,-58608882785.965126,58609393761.86617,0.0,0.0,0.05951091661735706,11124628.801053166,255487.9505265084,Low Probability,1.988904756162707
81,HND,Honduras,LMC,Lower-Middle Income,True,37093565854.0437,71296514097.7746,0.0,250397.39972584453,250397.39972584453,0.00035120566958218266,-44836822429.518974,44837323224.31843,0.0,0.0,0.07624021556537387,8713392.10977599,250397.39972584453,Low Probability,1.8800490046196872
82,UZB,Uzbekistan,LMC,Lower-Middle Income,True,114965293466.611,379988885832.125,0.0,231448.82502519057,231448.82502519057,6.09093669985501e-05,-138964764691.29626,138965227588.9463,0.0,0.0,0.02273741632012602,13974048.943285206,231448.82502519057,Low Probability,2.3734241832799974
83,LKA,Sri Lanka,LMC,Lower-Middle Income,True,98963185509.6499,301407170002.3,0.0,219580.2703259892,219580.2703259892,7.285170764992539e-05,-119622131458.71239,119622570619.25304,0.0,0.0,0.025059507690432442,10161851.320104998,219580.2703259892,Low Probability,2.3369043471974673
84,SLV,El Salvador,UMC,Upper-Middle Income,True,35364960000.0,73960892033.3419,0.0,212532.0889129448,212532.0889129448,0.0002873573899259279,-42747397478.77792,42747822542.95575,0.0,0.0,0.06787412207656784,8720644.476212282,212532.0889129448,Low Probability,1.9317170722779442
85,CMR,Cameroon,LMC,Lower-Middle Income,True,53296694320.2057,143199513689.651,0.0,203083.9326500448,203083.9326500448,0.00014181887034210063,-64422499604.50628,64422905772.371574,0.0,0.0,0.043035631216054006,11811553.37212734,203083.9326500448,Low Probability,2.124653507498481
86,TUN,Tunisia,LMC,Lower-Middle Income,True,51332285656.5422,156839034439.788,0.0,201785.83356933418,201785.83356933418,0.00012865791624520724,-62048010009.465485,62048413581.13263,0.0,0.0,0.04439693166577725,10563547.741369957,201785.83356933418,Low Probability,2.1119122391592047
87,KHM,Cambodia,LMC,Lower-Middle Income,True,46352647037.2406,123628404396.599,0.0,190791.05759363592,190791.05759363592,0.00015432623152004748,-56028852604.41983,56029234186.53502,0.0,0.0,0.046487518136452674,10495168.387029737,190791.05759363592,Low Probability,2.0929737290039694
88,CUB,Cuba,UMC,Upper-Middle Income,False,107352000000.0,,0.0,175037.6527367115,175037.6527367115,,-129762206423.73097,129762556499.03645,0.0,0.0,0.018415106147083207,14695278.777547665,175037.6527367115,Low Probability,2.451064781560476
89,GUY,Guyana,HIC,High Income,True,24662709832.1343,58605530526.6564,0.0,174955.8710111889,174955.8710111889,0.00029853133217796086,-29811025218.40455,29811375130.14657,0.0,0.0,0.0801199395724031,7123590.338580887,174955.8710111889,Low Probability,1.8576486998681039
90,TZA,Tanzania,LMC,Lower-Middle Income,True,78844405385.2195,246705840510.802,0.0,171864.40620242868,171864.40620242868,6.966369577898323e-05,-95303481609.14648,95303825337.9589,0.0,0.0,0.02461886037713868,11324447.40026006,171864.40620242868,Low Probability,2.3436016486997073
91,SMR,San Marino,HIC,High Income,True,2027527227.831,2402427595.62567,0.0,169586.68016379265,169586.68016379265,0.007058971536647988,-2450616253.9296813,2450955427.290009,0.0,0.0,0.5324611576081099,2396038.4138877527,169586.68016379265,High-Potential Prospect,0.7467603867673454
92,JOR,Jordan,LMC,Lower-Middle Income,True,53352289577.4648,109986275190.311,0.0,166230.6227409582,166230.6227409582,0.0001511376055360787,-64489737562.40574,64490070023.65122,0.0,0.0,0.03518931848335666,7580220.251852013,166230.6227409582,Low Probability,2.2055800834128467
93,BHS,"Bahamas, The",HIC,High Income,True,15832800000.0,14544121121.0956,0.0,146795.1087678285,146795.1087678285,0.0010093088990775023,-19137846285.61442,19138139875.83196,0.0,0.0,0.10471448108479209,5484448.424256987,146795.1087678285,Low Probability,1.7330704213055923
94,HTI,Haiti,LMC,Lower-Middle Income,True,25224154990.7946,33076710100.7338,0.0,127141.77288270998,127141.77288270998,0.00038438457904520966,-30489723275.141144,30489977558.686913,0.0,0.0,0.056927815953754596,6435277.012991574,127141.77288270998,Low Probability,2.0079157103000393
95,MNG,Mongolia,UMC,Upper-Middle Income,True,23794540024.5132,59366772678.5888,0.0,124627.21516121681,124627.21516121681,0.0002099275563385389,-28761670023.644108,28761919278.07443,0.0,0.0,0.05915459188961159,6274733.835413053,124627.21516121681,Low Probability,1.9914859051712845
96,CHI,Channel Islands,HIC,High Income,False,12507320838.3932,,0.0,121794.25963903627,121794.25963903627,,-15118178169.332022,15118421757.851301,0.0,0.0,0.10998043038656191,4612298.285970269,121794.25963903627,Low Probability,1.7095001597020185
97,PSE,West Bank and Gaza,LMC,Lower-Middle Income,True,13711100000.0,20339449744.6379,0.0,113913.24584729937,113913.24584729937,0.0005600606077228337,-16573261417.024462,16573489243.516157,0.0,0.0,0.0938328298475759,4680253.139086081,113913.24584729937,Low Probability,1.7849269756590458
