iso3,country_name,income_group,is_current_donor,peer_group,ppp_data_available,gdp_usd,gdp_per_capita_usd,gdp_ppp,gni_per_capita_ppp,fiscal_balance_pct_gdp,govt_debt_pct_gdp,trade_openness,gov_effectiveness,ida20_contribution_usd,ida21_contribution_usd
PHL,Philippines,LMC,0,Lower-Middle Income,True,461617509782.355,3984.8315387656,1201987017721.73,13330.0,-0.18542752410029806,60.2,65.8854725286968,0.1445214,,
PNG,Papua New Guinea,LMC,0,Lower-Middle Income,True,31800428265.5246,3006.70564478923,45357628034.991,4580.0,-3.462733328809801,,,-0.900446699999999,,
PSE,West Bank and Gaza,LMC,0,Lower-Middle Income,True,13711100000.0,2592.30591217647,20339449744.6379,4660.0,,,81.3136801569531,-1.0985907,,
SEN,Senegal,LMC,0,Lower-Middle Income,True,32808056600.9436,1773.21829923448,82535939325.2829,4920.0,0.6106899753859025,,68.1405147656211,0.2344127,,
SLB,Solomon Islands,LMC,0,Lower-Middle Income,True,1583964703.75061,1933.55538435227,1927776122.51779,2680.0,-4.2631117740783,,111.352972064455,-0.868619199999999,,
STP,Sao Tome and Principe,LMC,0,Lower-Middle Income,True,822154621.088897,3490.56883486557,1293398436.04085,6240.0,,,,-0.718673799999999,,
SWZ,Eswatini,LMC,0,Lower-Middle Income,True,4858885840.77236,3909.55892378182,12900985341.5671,10760.0,0.4724619698530006,,107.480621053879,-0.7811414,,
TJK,Tajikistan,LMC,0,Lower-Middle Income,True,14204575548.5536,1341.20229027672,50369738870.8902,7100.0,7.961311987448999,,65.6347010367354,-0.6009336,,
TLS,Timor-Leste,LMC,0,Lower-Middle Income,True,1865608515.41321,1331.9705130185,5449823119.04932,5040.0,-1.0259776290530027,,95.4485021286221,-0.898562299999999,,
TUN,Tunisia,LMC,0,Lower-Middle Income,True,51332285656.5422,4181.13789301228,156839034439.788,14230.0,,79.8,106.298549204247,-0.2393469,,
TZA,Tanzania,LMC,0,Lower-Middle Income,True,78844405385.2195,1186.71691894531,246705840510.802,4130.0,-1.8729173412618003,,41.5131207208244,-0.2924507,,
UZB,Uzbekistan,LMC,0,Lower-Middle Income,True,114965293466.611,3161.70010632875,379988885832.125,12000.0,-3.1260934026989986,,60.7274403812997,-0.1435922,,
VNM,Viet Nam,LMC,0,Lower-Middle Income,True,476388230307.175,4717.29028732449,1455759302312.16,15850.0,,34.0,173.862024782965,-0.0922968,,
VUT,Vanuatu,LMC,0,Lower-Middle Income,True,1117972034.22642,3410.77023167097,1039724287.98133,4140.0,-2.6075750603777976,,63.5996121674253,-0.8168523,,
ZMB,Zambia,LMC,0,Lower-Middle Income,True,25303185342.2511,1187.10943350064,79037328495.5792,3850.0,-3.1696983488523003,,62.5348874064443,-0.5330555,,
ZWE,Zimbabwe,LMC,0,Lower-Middle Income,True,41539411516.4448,2497.20332208763,86752463870.312,5870.0,-2.860325982579159,,41.4865312656314,-0.9876299,,
ALB,Albania,UMC,0,Upper-Middle Income,True,27046429296.6673,11377.7757431099,51443601344.7113,26500.0,0.6805512813395005,,79.4546360752224,0.3123437,,
ARG,Argentina,UMC,0,Upper-Middle Income,True,638365455340.04,13969.7836603737,1223376004342.6,29800.0,-4.148093425328401,89.4,27.929760849367,0.1837479,,
ARM,Armenia,UMC,0,Upper-Middle Income,True,25955275380.0321,8556.21406956719,60908993989.5524,22020.0,3.193753983811,47.8,150.064726588742,-0.3640294,,
AZE,Azerbaijan,UMC,0,Upper-Middle Income,True,74315882352.9412,7283.8499076179,225198385162.317,24220.0,16.771736669933702,20.1,82.6898691594703,0.1661183,,
BIH,Bosnia and Herzegovina,UMC,0,Upper-Middle Income,True,29613572022.8993,9358.78768951134,64954815907.2616,24990.0,2.5002692455989006,,95.1562957108171,-0.6353163,,
BLR,Belarus,UMC,0,Upper-Middle Income,True,75961865471.9129,8317.63399913792,265220428363.568,32300.0,0.652344241557099,,131.91792910245,-0.7015463,,
BLZ,Belize,UMC,0,Upper-Middle Income,True,3203631800.0,7681.24400583113,5264035959.20123,13760.0,,,108.972446521476,-0.129095,,
BRA,Brazil,UMC,0,Upper-Middle Income,True,2185821648943.86,10310.5488778166,4166273441898.55,21590.0,-5.984166131610699,88.1,35.5845239385389,-0.224002999999999,,
BWA,Botswana,UMC,0,Upper-Middle Income,True,19402063512.9066,7695.75319445165,45553212807.2757,20570.0,1.8045717717910001,,71.1052579052124,0.4168893,,
CHN,China,UMC,0,Upper-Middle Income,True,18743803170827.2,13303.1481543868,33597882047418.8,26920.0,,83.6,37.1984201388065,0.8957842,,1500050000.0
COL,Colombia,UMC,0,Upper-Middle Income,True,418818154879.271,7919.20886825345,977192682078.988,21890.0,-7.3831103993910965,59.6,37.0254687077888,-0.111099099999999,,
