iso3,country_name,income_group,peer_group,ppp_data_available,gdp_usd,gdp_ppp,actual_contribution_usd,adjusted_target_usd,gap_usd_signed,gap_pct_ppp_gdp,gap_usd_lower,gap_usd_upper,giving_rate_raw,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr
BHR,Bahrain,HIC,High Income,True,47109734308.5106,93559684338.3106,0.0,272528.34041599394,272528.34041599394,0.00029128822135668505,-51494541353.57489,51495086410.25572,0.0,0.0,0.06533620455743376,54364328.864407495,272528.34041599394,Low Probability,1.9484250745463985
AGO,Angola,LMC,Lower-Middle Income,True,100998916781.079,337255560567.664,0.0,272042.9951586085,272042.9951586085,8.066375383128136e-05,-110399850102.82523,110400394188.81555,0.0,0.0,0.030421016201108767,85713451.16249025,272042.9951586085,Low Probability,2.2626626941559698
PNG,Papua New Guinea,LMC,Lower-Middle Income,True,31800428265.5246,45357628034.991,0.0,269179.14700122597,269179.14700122597,0.0005934594877703229,-34760214167.5518,34760752525.84581,0.0,0.0,0.09560075660693873,41421034.70511518,269179.14700122597,Low Probability,1.7761860817938513
BLR,Belarus,UMC,Upper-Middle Income,True,75961865471.9129,265220428363.568,0.0,263001.2715847913,263001.2715847913,9.91632783370161e-05,-83032303028.13577,83032829030.67896,0.0,0.0,0.03910345328518394,65388980.46578765,263001.2715847913,Low Probability,2.1634792491307286
VIR,Virgin Islands (U.S.),HIC,High Income,True,4672000000.0,4899522415.95903,0.0,261018.248353273,261018.248353273,0.005327422270853748,-5106619204.866081,5107141241.362787,0.0,0.0,0.22224892574862853,16849041.981885202,261018.248353273,Emerging Prospect,1.3400364655334376
LBY,Libya,UMC,Upper-Middle Income,True,48487151215.345,92881567242.442,0.0,255487.9505265084,255487.9505265084,0.0002750685180188947,-53000188351.26274,53000699327.16379,0.0,0.0,0.05951091661735706,53187532.365311,255487.9505265084,Low Probability,1.988904756162707
HND,Honduras,LMC,Lower-Middle Income,True,37093565854.0437,71296514097.7746,0.0,250397.39972584453,250397.39972584453,0.00035120566958218266,-40546067638.73226,40546568433.531715,0.0,0.0,0.07624021556537387,44293819.97056261,250397.39972584453,Low Probability,1.8800490046196872
UZB,Uzbekistan,LMC,Lower-Middle Income,True,114965293466.611,379988885832.125,0.0,231448.82502519057,231448.82502519057,6.09093669985501e-05,-125666289002.62675,125666751900.27681,0.0,0.0,0.02273741632012602,60557573.512460776,231448.82502519057,Low Probability,2.3734241832799974
LKA,Sri Lanka,LMC,Lower-Middle Income,True,98963185509.6499,301407170002.3,0.0,219580.2703259892,219580.2703259892,7.285170764992539e-05,-108174680868.2819,108175120028.82256,0.0,0.0,0.025059507690432442,46770642.579217784,219580.2703259892,Low Probability,2.3369043471974673
SLV,El Salvador,UMC,Upper-Middle Income,True,35364960000.0,73960892033.3419,0.0,212532.0889129448,212532.0889129448,0.0002873573899259279,-38656597145.82912,38657022210.00694,0.0,0.0,0.06787412207656784,42932659.49472284,212532.0889129448,Low Probability,1.9317170722779442
CMR,Cameroon,LMC,Lower-Middle Income,True,53296694320.2057,143199513689.651,0.0,203083.9326500448,203083.9326500448,0.00014181887034210063,-58257466903.48899,58257873071.35429,0.0,0.0,0.043035631216054006,53048766.5129148,203083.9326500448,Low Probability,2.124653507498481
TUN,Tunisia,LMC,Lower-Middle Income,True,51332285656.5422,156839034439.788,0.0,201785.83356933418,201785.83356933418,0.00012865791624520724,-56110207980.1459,56110611551.81304,0.0,0.0,0.04439693166577725,48565411.25505043,201785.83356933418,Low Probability,2.1119122391592047
